Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.31153464457157E-18,6.50618032034739E-18,5.0603624713813E-18,0,0,0,4.68680310101314,0.0154717864738765,-1.44964753828898E-18,1.09665913846752E-18,0.0330737703955579,8.32585455221295E-20,0.0414712634973384,0,0,0,0,0,0,package://astro_description/meshes/base_link.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://astro_description/meshes/base_link.STL,,BODY-1,body_origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_0,0,-1.38777878078145E-17,1.25816239120847E-20,0,0,0,0.246223359229195,0.000165256724841001,-9.05104722009984E-15,-1.66129314216246E-14,0.000278470026411962,-1.73436802029533E-14,0.000163858703021357,0,0,0,0,0,0,package://astro_description/meshes/hip_0.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://astro_description/meshes/hip_0.STL,,LEG-1/HIP_MOTOR-1,hip_0_frame,hip_0_axis,hip_0,revolute,0.185,0.065,0,0,0,0,base_link,-1,0,0,10,10,-3.14,3.14,,,,,,,,
shoulder_0,4.06795680474303E-10,0.0158652706913515,-0.0518927213529733,0,0,0,0.508100774960777,0.00253510428613682,-1.80683476493991E-11,-2.00076175747246E-11,0.00255511245596087,0.000407766188388369,0.000348890325766077,0,0,0,0,0,0,package://astro_description/meshes/shoulder_0.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://astro_description/meshes/shoulder_0.STL,,LEG-1/UPPER_LEG-1,shoulder_0_frame,shoulder_0_axis,shoulder_0,revolute,0,0.0349999999353767,0,0,0,0,hip_0,0,1,0,10,10,-3.14,3.14,,,,,,,,
knee_0,2.3577252546203E-05,-2.77555756156289E-17,-0.0854767786481249,0,0,0,0.0550655915530228,0.000108166100210968,9.08465366075516E-22,-3.77066822641529E-08,0.000109318668697255,1.43882130258396E-20,4.74934642586929E-06,0,0,0,0,0,0,package://astro_description/meshes/knee_0.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://astro_description/meshes/knee_0.STL,,LEG-1/SHIN-1,knee_0_frame,knee_0_axis,knee_0,revolute,0,0.0314999999999999,-0.1875,0,0,0,shoulder_0,0,-1,0,10,10,-3.14,3.14,,,,,,,,
toe_0,2.95606317202157E-11,9.95770133016549E-12,-0.00105178196616629,0,0,0,0.00341340894922415,1.37512731322582E-07,3.15030137833387E-16,-8.62139511434755E-16,1.34732164237532E-07,-2.80019540660074E-16,1.56709984508881E-07,0,0,0,0,0,0,package://astro_description/meshes/toe_0.STL,1,0,0,1,0,0,0,0,0,0,package://astro_description/meshes/toe_0.STL,,LEG-1/TOE-1,toe_0_frame,Axis_toe_0,toe_0,fixed,0,0,-0.19,0,0,0,knee_0,0,0,0,0,0,-3.14,3.14,,,,,,,,
hip_1,2.77555756156289E-17,1.38777878078145E-17,3.30036792602533E-20,0,0,0,0.246223359229195,0.000165256724841001,9.05105986575477E-15,1.66129315864524E-14,0.000278470026411962,-1.73437001365424E-14,0.000163858703021357,0,0,0,0,0,0,package://astro_description/meshes/hip_1.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://astro_description/meshes/hip_1.STL,,LEG-3/HIP_MOTOR-1,hip_1_frame,hip_1_axis,hip_1,revolute,0.185,-0.065,0,0,0,0,base_link,0,1,0,10,10,-3.14,3.14,,,,,,,,
shoulder_1,-4.06795652718728E-10,-0.0158652706913514,-0.0518927213529733,0,0,0,0.508100774960777,0.00253510428613682,-1.80683477464773E-11,2.00076171968531E-11,0.00255511245596086,-0.000407766188388369,0.000348890325766076,0,0,0,0,0,0,package://astro_description/meshes/shoulder_1.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://astro_description/meshes/shoulder_1.STL,,LEG-3/UPPER_LEG-1,shoulder_1_frame,shoulder_1_axis,shoulder_1,revolute,0,-0.0349999999353766,0,0,0,0,hip_1,0,-1,0,10,10,-3.14,3.14,,,,,,,,
knee_1,-2.35772525461475E-05,-2.77555756156289E-17,-0.085476778648125,0,0,0,0.0550655915530228,0.000108166100210968,1.95711519985102E-21,3.77066822642154E-08,0.000109318668697255,-1.11492990036179E-20,4.74934642586929E-06,0,0,0,0,0,0,package://astro_description/meshes/knee_1.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://astro_description/meshes/knee_1.STL,,LEG-3/SHIN-1,knee_1_frame,knee_1_axis,knee_1,revolute,0,-0.0315000000000001,-0.1875,0,0,0,shoulder_1,0,1,0,10,10,-3.14,3.14,,,,,,,,
toe_1,-2.95606039646401E-11,-9.95770133016549E-12,-0.00105178196616634,0,0,0,0.00341340894922415,1.37512731322582E-07,3.15030139835466E-16,8.62139516591554E-16,1.34732164237532E-07,2.80019542233771E-16,1.56709984508881E-07,0,0,0,0,0,0,package://astro_description/meshes/toe_1.STL,1,0,0,1,0,0,0,0,0,0,package://astro_description/meshes/toe_1.STL,,LEG-3/TOE-1,toe_1_frame,Axis_toe_1,toe_1,fixed,0,0,-0.19,0,0,0,knee_1,0,0,0,,,,,,,,,,,,
hip_2,0,1.38777878078145E-17,5.79034700593245E-20,0,0,0,0.246223359229195,0.000165256724841001,9.05104333115616E-15,1.66129315189461E-14,0.000278470026411962,-1.73436818613365E-14,0.000163858703021357,0,0,0,0,0,0,package://astro_description/meshes/hip_2.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://astro_description/meshes/hip_2.STL,,LEG-4/HIP_MOTOR-1,hip_2_frame,hip_2_axis,hip_2,revolute,-0.185,-0.065,0,0,0,0,base_link,1,0,0,10,0,-3.14,3.14,,,,,,,,
